cercle choisi;acote coord (x, y);temps de reponse;temps ecoule
Cercle 0;Cible;5.954996549746426;5.955238600829887
Cercle 1;Cible;0.24346441561894494;6.4343692846200895
Cercle 4;Cible;0.11527416182633488;6.822651222440044
Cercle 8;Cible;0.11329918908782588;7.1802804674621825
Cercle 6;Cible;0.0804540878325497;7.515461730903212
Cercle 10;Cible;0.0685090719925654;7.804900672902022
Cercle 12;Cible;0.06982927603752387;8.082673162934867
Cercle 14;Cible;0.10182760875684949;8.396438649076003
Cercle 12;Cible;0.06040979658683909;8.662560687129712
Cercle 10;Cible;0.05992610467600912;8.933877387587785
Cercle 8;Cercle 2;Cible;0.1855703092756471;9.361382267583792
Cible;-0.05075441989382057;9.361382267583792
Cercle 1;Cible;0.13307476260533235;9.715363515599194
Cercle 7;Cible;0.02638274758339776;9.981714066285917
Cercle 9;Cible;0.0226555711543881;10.232976629352521
Cercle 1;Cible;0.023644288291876592;10.478938683947774
Cercle 4;Cible;0.1927009700915221;10.904062437692374
Coords(827,490);A cote;0.09862391907779511;11.212972953458092
Cercle 8;Cible;0.15226777249824863;11.50508922659347
Cercle 6;Cible;0.06097102689557232;11.79354724632023
Cercle 2;Cible;0.02474295405707494;12.02896325828658
Cercle 7;Cible;0.14543495759184566;12.404798437088488
Cercle 9;Cible;0.012740092110703927;12.639951885167704
Cercle 5;Cible;0.05484098064329146;12.928034110330998
Cercle 11;Cible;0.07185635129735601;13.206038805301517
Cercle 13;Cible;0.0357144322343288;13.456777881618166
Cercle 11;Cible;0.01979731708937038;13.7039629095689
Cercle 5;Cible;0.01985844524435265;13.953579115012019
Cercle 3;Cible;0.03853822478916413;14.22398545724272
Cercle 0;Cible;0.047711550595664676;14.479291914427165
Cercle 1;Cible;0.082635009119997;14.76880757431175
Cercle 7;Cercle 9;Cible;0.19336476441864647;15.180219749563292
Cible;-0.052665392684815515;15.180219749563292
Cercle 2;Cercle 8;Cible;0.3728009248812896;15.774735774575788
Cible;-0.0252926971957379;15.774735774575788
Cercle 7;Cible;0.005539277506244389;16.051413701404158
Cercle 1;Cercle 9;Cible;0.23236247601028026;16.538851250173337
Cible;-0.03848160945099721;16.538851250173337
Cercle 5;Cible;0.19319286712379835;16.954973985662377
Cercle 11;Cible;0.03993965953668521;17.21729869349852
Cercle 13;Cible;0.015619679491550187;17.462416851350298
Cercle 11;Cible;0.035790739864012266;17.723607611398904
Cercle 5;Cercle 3;Cible;0.1910927662828783;18.139917423657522
Cible;-0.05961102801146012;18.139917423657522
Cercle 0;Cible;0.08570618608723635;18.45667449708762
Cercle 4;Cible;0.08974351610788744;18.75520184188568
Cercle 1;Cible;0.01781126743691175;18.98415262838759
Cercle 6;Cible;0.018149728697636647;19.250352615095295
Cercle 8;Cible;0.013030143154765028;19.501205742600433
Cercle 12;Cercle 10;Cible;0.18662138533630923;19.932445593890805
Cible;-0.07207419727245679;19.932445593890805
Cercle 14;Cible;0.05187359846269146;20.19271984187091
Cercle 12;Cercle 10;Cible;0.1903296899859015;20.598268227061993
Cercle 12;Cible;0.0949045375142532;20.77121290567149
Cible;-0.04627360305752859;20.77121290567149
Cercle 6;Cible;0.10182268568394193;21.098356842373875
Cercle 8;Cible;0.023418237195301117;21.395480701144066
Cercle 2;Cible;0.03102602582478653;21.640876192101587
Cercle 7;Cible;0.06817061073181208;21.939107332014515
Cercle 9;Cible;0.08714823618606715;22.242721441869605
Cercle 7;Cible;0.0019150753517180874;22.463725568225186
Cercle 1;Cible;0.017876087896553372;22.73703036961612
Cercle 4;Cible;0.013292707041898666;22.96789007762868
Cercle 8;Cible;0.02793228477352727;23.230957759214164
Cercle 2;Cible;0.08908997818258513;23.54460427109396
Cercle 10;Cible;0.07919090938179352;23.842852641761937
Cercle 12;Cible;0.0731347092228134;24.128108612833984
Cercle 14;Cible;0.015544192373994292;24.37408461613572
Cercle 12;Cible;0.022541109709862894;24.62371887284607
Cercle 6;Cible;0.07333081162599342;24.917153709002093
Cercle 4;Cible;0.0918702835936358;25.23050647753317
Cercle 0;Cible;0.07604875811381362;25.513039989300523
Cercle 3;Cible;0.09911335457366022;25.81870620003596
Cercle 5;Cible;0.019479368632289606;26.126558665387762
Cercle 11;Cible;0.010306453081909694;26.357257963275543
Cercle 13;Cible;0.042285914021789495;26.63653937514718
Cercle 9;Cible;0.09275684696874009;26.936983026065235
Cercle 7;Cible;0.009011684913474483;27.162121713130915
Cercle 1;Cible;0.020615367700202114;27.425900778748087
Cercle 4;Cercle 6;Cible;0.18835840955208027;27.84374084616138
Cible;-0.06477574172245681;27.84374084616138
Cercle 8;Cible;0.0606657963767816;28.112303087341076
Cercle 2;Cible;0.03762622553745132;28.362908420177718
Cercle 10;Cible;0.12369959081058823;28.697599427610726
Cercle 12;Cercle 14;Cible;0.17423575447324424;29.124728513043294
Cible;-0.07620875798255611;29.124728513043294
Cercle 12;Cible;0.018329831113987893;29.365206264446158
Cercle 10;Cible;0.016279371257951425;29.6246238977445
Cercle 8;Cercle 6;Cible;0.1803227238377758;30.039911762123694
Cible;-0.06683112465140084;30.039911762123694
Cercle 4;Cible;0.0977139711064865;30.356614271496
Cercle 1;Cercle 7;Cible;0.17433093388231669;30.813052871341256
Cible;-0.07597039920375437;30.813052871341256
Cercle 2;Cible;0.04044591553153509;31.065633587172442
Cercle 9;Cible;0.09396053828876916;31.37699415220993
Cercle 13;Cible;0.03864489136827842;31.69753665843146
Cercle 11;Cible;0.05043113810779687;31.962880030457427
Cercle 5;Cible;0.016928396366438392;32.20444537071151
Cercle 3;Cible;0.008554249391380608;32.434167438631846
Cercle 0;Cible;0.018600189866504024;32.692024047570015
Cercle 1;Cercle 4;Cible;0.3607012425015341;33.29626396203983
Cible;-0.017838754593839212;33.29626396203983
Cercle 7;Cible;0.06758107275399539;33.61600523814957
Cercle 9;Cible;0.03908427562313932;33.86431764979065
Cercle 2;Cible;0.08444464866082058;34.15803187033285
Cercle 8;Cible;0.015224192636566158;34.392688908562974
Cercle 6;Cible;0.019797317089398803;34.64370860003399
Cercle 12;Cible;0.01898090750282222;34.879860611396424
Cercle 10;Cible;0.01686562718717255;35.14266695986302
Cercle 14;Cible;0.007712403928280764;35.36850390276604
Cercle 12;Cible;0.05396344290178945;35.66514160808896
Cercle 10;Cible;0.0354387401528129;35.91036848380023
Cercle 8;Cible;0.05973984841858737;36.18678589802184
Cercle 6;Cible;0.031970025050213735;36.42535513817015
Cercle 4;Cible;0.09416771760598408;36.73622134463892
Cercle 1;Cible;0.051881803584166164;36.99451610706373
Cercle 2;Cible;0.06895707162496478;37.2728153658951
Cercle 7;Cible;0.04992201032041521;37.53319381891791
Cercle 9;Cible;0.014987474882076413;37.76610726883507
Cercle 11;Cercle 13;Cible;0.23277724490074547;38.21998094770797
Cible;-0.04199258092916125;38.21998094770797
Cercle 5;Cible;0.11342924026317291;38.544942732354684
Cercle 3;Cercle 0;Cible;0.19877850356635918;39.01336901467158
Cible;-0.04842375513948127;39.01336901467158
Cercle 4;Cible;0.09682084363416266;39.31766497012106
Cercle 1;Cible;0.022184186925784388;39.63157937921693
Cercle 9;Cible;0.07950803732674672;39.93186549180268
Cercle 8;Cible;6.651448491119169;46.81596609972013
Cercle 1;Cible;0.14343126692818942;47.18382261840196
Cercle 3;Cible;0.10906370538361898;47.52415833915214
Cercle 5;Cible;0.03277535772278384;47.81763584193985
Cercle 7;Cible;0.16506817225177883;48.20650526645724
Cercle 2;Cible;0.19206548343345275;48.623988000830366
Cercle 10;Cible;0.14545875244411377;48.98406565409999
Cercle 14;Cible;0.09294597501869362;49.30686005590971
Cercle 12;Cible;0.0482210886390817;49.56291646119675
Cercle 6;Cible;0.10711088647312295;49.884338556440184
Cercle 4;Cible;0.07241553032571346;50.217306898619995
Cercle 0;Cible;0.09247048822933834;50.526277311772475
Cercle 3;Cible;0.04395606649759998;50.84628771586651
Cercle 5;Cible;0.10474699097684947;51.1784101100225
Cercle 11;Cible;0.07049430113289645;51.51780224180331
Coords(1001,273);A cote;13.020401624285824;64.75694255840611
